编号,措施名称,类型,单位,人工(元),材料(元),机械(元),合计单价(元),适用分区,备注
A01,机械挖土方(一类普通土),工程措施,m³,2.5,0,10.0,12.5,通用,运距1km
A02,机械填土夯实,工程措施,m³,3.0,0,15.0,18.0,通用,
A03,表土剥离及堆存,工程措施,m³,3.0,0,12.0,15.0,通用,
A04,表土回覆,工程措施,m³,4.0,0,14.0,18.0,通用,
A05,余方外运,工程措施,m³,2.0,0,22.0,24.0,通用,运距5km
A06,场地平整,工程措施,m²,1.5,0,3.5,5.0,通用,
B01,砖砌排水沟(30×30),工程措施,m,40.0,110.0,30.0,180.0,通用,浆砌
B02,排水沟C20(40×40),工程措施,m,60.0,280.0,60.0,400.0,通用,现浇混凝土
B03,排水沟C20(60×60),工程措施,m,80.0,420.0,80.0,580.0,通用,现浇混凝土
B04,截水沟C20(30×30),工程措施,m,55.0,260.0,55.0,370.0,通用,
B05,截水沟C20(40×40),工程措施,m,70.0,320.0,60.0,450.0,通用,
B06,C25混凝土,工程措施,m³,120.0,380.0,50.0,550.0,通用,商品砼
B07,浆砌石挡墙,工程措施,m³,150.0,280.0,40.0,470.0,通用,M7.5浆砌
B08,干砌石护坡,工程措施,m³,130.0,200.0,30.0,360.0,通用,
B09,砂砾石垫层,工程措施,m³,30.0,120.0,20.0,170.0,通用,厚15cm
B10,碎石盲沟,工程措施,m,35.0,85.0,15.0,135.0,通用,
B11,透水砖铺装,工程措施,m²,25.0,50.0,10.0,85.0,道路广场区,
B12,沉沙池(2×2×1.5m),工程措施,座,800.0,3200.0,500.0,4500.0,通用,砖砌
B13,沉沙池(3×3×2m),工程措施,座,1200.0,5500.0,800.0,7500.0,通用,混凝土
B14,急流槽C20,工程措施,m,90.0,350.0,80.0,520.0,通用,
B15,土质排水沟,工程措施,m,15.0,0,10.0,25.0,临时堆土区,简易
B16,HDPE防渗膜,工程措施,m²,5.0,18.0,2.0,25.0,通用,0.5mm厚
C01,撒播草籽(混播),植物措施,m²,3.0,5.0,0,8.0,通用,黑麦草+高羊茅
C02,液力喷播,植物措施,m²,4.0,12.0,6.0,22.0,通用,含基材
C03,铺设草皮,植物措施,m²,8.0,15.0,2.0,25.0,通用,百慕大草皮
C04,栽植乔木,植物措施,株,15.0,80.0,5.0,100.0,通用,胸径5cm
C05,栽植灌木,植物措施,株,8.0,25.0,3.0,36.0,通用,冠幅30cm
C06,综合绿化(乔灌草),植物措施,m²,12.0,30.0,8.0,50.0,绿化工程区,
C07,屋顶绿化,植物措施,m²,10.0,30.0,5.0,45.0,建(构)筑物区,含防水层
C08,行道树种植,植物措施,株,20.0,150.0,10.0,180.0,道路广场区,胸径8cm
C09,藤蔓绿化,植物措施,m²,6.0,10.0,2.0,18.0,通用,爬山虎等
C10,建筑物周边绿化,植物措施,m²,10.0,25.0,5.0,40.0,建(构)筑物区,灌木+草坪
D01,密目安全网覆盖(6针),临时措施,m²,0.5,2.5,0.5,3.5,通用,2000目
D02,彩条布覆盖,临时措施,m²,0.5,2.0,0.5,3.0,通用,
D03,防尘网覆盖,临时措施,m²,0.5,3.5,0.5,4.5,通用,6针加密
D04,临时排水沟(土质),临时措施,m,8.0,0,7.0,15.0,通用,
D05,临时沉沙池(简易),临时措施,座,300.0,500.0,200.0,1000.0,通用,挖土成型
D06,临时拦挡(编织袋装土),临时措施,m,20.0,15.0,5.0,40.0,通用,双层码放
D07,施工围挡(彩钢板),临时措施,m,30.0,80.0,10.0,120.0,施工生产生活区,H=2m
D08,临时硬化(碎石),临时措施,m²,5.0,22.0,8.0,35.0,施工生产生活区,厚15cm
D09,洒水降尘,临时措施,m²·次,0.3,0.5,0.7,1.5,通用,洒水车
D10,车辆冲洗平台,临时措施,座,2000.0,8000.0,2000.0,12000.0,施工生产生活区,含沉淀池
D11,临时苫盖(篷布),临时措施,m²,1.0,4.0,0.5,5.5,临时堆土区,加厚型
D12,临时拆除费,临时措施,m²,3.0,0,5.0,8.0,通用,硬化/围挡拆除
